variant,label_set,split,scorer,auprc,precision@20,mcc,chains,residues,positive_rate,threshold,n_features,best_iteration,esm_components
structural,chain,val,protrusion,0.0757,0.0266,-0.0168,109.0,33990.0,0.0529,0.8669,36,411,0
structural,union,val,score,0.439,0.3711,0.2499,109.0,33990.0,0.1019,0.8669,36,411,0
structural,union,val,rel_sasa_assembly,0.1716,0.1743,0.1696,109.0,33990.0,0.1019,0.8669,36,411,0
structural,union,val,protrusion,0.1129,0.0284,0.0518,109.0,33990.0,0.1019,0.8669,36,411,0
structural,chain,test_group2,score,0.288,0.2481,0.1818,234.0,68297.0,0.0516,0.8669,36,411,0
structural,chain,test_group2,rel_sasa_assembly,0.1315,0.109,0.12,234.0,68297.0,0.0516,0.8669,36,411,0
structural,chain,test_group2,protrusion,0.0938,0.035,-0.0116,234.0,68297.0,0.0516,0.8669,36,411,0
structural,union,test_group2,score,0.2983,0.2701,0.1731,234.0,68297.0,0.06,0.8669,36,411,0
structural,union,test_group2,rel_sasa_assembly,0.1459,0.1256,0.1276,234.0,68297.0,0.06,0.8669,36,411,0
structural,union,test_group2,protrusion,0.1075,0.0421,-0.0041,234.0,68297.0,0.06,0.8669,36,411,0
structural,chain,test_B,score,0.1921,0.1947,0.0509,38.0,10987.0,0.0695,0.8669,36,411,0
structural,chain,test_B,rel_sasa_assembly,0.1461,0.1539,0.1325,38.0,10987.0,0.0695,0.8669,36,411,0
structural,chain,test_B,protrusion,0.0947,0.0408,-0.0045,38.0,10987.0,0.0695,0.8669,36,411,0
structural,union,test_B,score,0.2275,0.2171,0.039,38.0,10987.0,0.1001,0.8669,36,411,0
structural,union,test_B,rel_sasa_assembly,0.1826,0.1987,0.162,38.0,10987.0,0.1001,0.8669,36,411,0
structural,union,test_B,protrusion,0.1224,0.0447,-0.0292,38.0,10987.0,0.1001,0.8669,36,411,0
